,Unnamed: 0.1,Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight.1,n_hba.1,n_hbd.1,logp.1,ro5_fulfilled,ROMol
666,1310,1310,CHEMBL4080452,5250.0,nM,COC(=O)c1scc(-c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)c1OC,5.279840696594043,417.103479088,5,1,5.615800000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad879700>
667,1312,1312,CHEMBL1783784,5250.0,nM,CCOC(=O)COc1cc(OC)ccc1-c1cc(-c2ccccc2)no1,5.279840696594043,353.12632270800003,6,0,3.959100000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad879760>
679,1326,1326,CHEMBL3238203,5370.0,nM,O=C(Nc1ccc(-c2ccc(NC(=O)c3ccccc3)cn2)cc1)c1ccccc1,5.270025714300445,393.1477268480001,3,2,5.253200000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad879be0>
680,1329,1329,CHEMBL236636,5400.0,nM,O=C(O)COc1c(O)cc(-c2ccc(C(F)(F)F)cc2)cc1OCc1ccc(C(F)(F)F)cc1,5.267606240177031,486.090192932,4,2,6.139200000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad879c40>
689,1343,1343,CHEMBL4561426,5500.0,nM,OC[C@H]1O[C@@H](O[C@@H]2c3ccccc3[C@H](O)C[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,5.259637310505756,342.131467664,8,6,-1.6578000000000008,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad879fa0>
691,1345,1345,CHEMBL1783774,5500.0,nM,COc1ccc(-c2cc(-c3ccccc3)no2)c(OCCN(C(C)C)C(C)C)c1,5.259637310505756,394.22564282,5,0,5.5148000000000055,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87a0a0>
694,1350,1350,CHEMBL403411,5600.0,nM,O=C1c2c(O)cc(O)c3c2[C@@H]2[C@@H](c4ccccc4O[C@H]2c2cccc(O)c2-3)[C@H]1O,5.251811972993799,388.094688232,6,4,3.3421000000000016,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87a1c0>
696,1352,1352,CHEMBL364604,5600.0,nM,CC(C)c1ccc(N2N=C3CSCC=C3C(C#N)=C2N)cc1,5.251811972993799,310.125217576,5,1,3.353080000000001,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87a280>
697,1357,1357,CHEMBL370584,5630.0,nM,COc1ccc(CC(=O)c2ccc3c(-c4ccc(OCC(=O)O)cc4)nocc2-3)cc1,5.249491605148654,417.121237328,6,1,4.3438000000000025,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87a2e0>
700,1361,1361,CHEMBL171632,5700.0,nM,CC1(C)C=C2C(=NN(c3ccccc3)C(N)=C2C#N)CO1,5.2441251443275085,280.132411132,5,1,2.2916800000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87a400>
701,1362,1362,CHEMBL238137,5700.0,nM,O=C(O)COc1c(O)cc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1OCc1ccccc1,5.2441251443275085,486.090192932,4,2,6.139200000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87a460>
703,1364,1364,CHEMBL456025,5710.0,nM,c1ccc2c(c1)ccc1oc(-c3ccc(OCCN4CCCC4)cc3)nc12,5.243363891754152,358.16812794400005,4,0,5.122600000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87a520>
706,1369,1369,CHEMBL4781365,5800.0,nM,O=C1C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CO1,5.236572006437063,264.084517472,8,4,-2.8816,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87a640>
716,1383,1383,CHEMBL3238204,5960.0,nM,O=C(Nc1ccc(-c2ccc(NC(=O)c3ccc(F)cc3)cn2)cc1)c1ccc(F)cc1,5.224753740259764,429.1288832240001,3,2,5.531400000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87aa00>
723,1398,1398,CHEMBL2424708,6100.0,nM,CC(=O)Nc1ccc(N2N=C3COC(C)(C)C=C3C(C#N)=C2N)cc1,5.214670164989233,337.15387484800004,6,2,2.2500800000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87aca0>
724,1403,1403,CHEMBL96952,6200.0,nM,Nc1nc(N)c2nc(CN3CCN(Cc4ccccc4)CC3)nnc2n1,5.207608310501746,351.1919916720001,9,2,0.2969999999999999,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87ad00>
726,1405,1405,CHEMBL493122,6200.0,nM,O=C(O)c1cccc(-c2ccc(Cc3c(-c4ccc(O)cc4)oc4cc(O)ccc4c3=O)cc2)c1,5.207608310501746,464.1259883599999,5,3,5.827200000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87adc0>
728,1409,1409,CHEMBL2424703,6200.0,nM,COc1ccccc1N1N=C2COC(C)(C)C=C2C(C#N)=C1N,5.207608310501746,310.14297581600005,6,1,2.30028,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87ae80>
738,1422,1422,CHEMBL1164073,6300.0,nM,CC1(C)CC(=O)C2=C(C1)NC(c1ccccc1)=CC2c1ccc(Cl)cc1,5.200659450546418,363.138992004,2,1,5.7111000000000045,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87b280>
740,1424,1424,CHEMBL470654,6330.0,nM,COC(=O)/C1=C/C=C(/C(C)C)CCC2=CCC[C@](C)(OC2=O)C(=O)CC1,5.198596289982644,360.1936739959999,5,0,3.833400000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87b340>
741,1426,1426,CHEMBL4098471,6370.0,nM,COC(=O)c1scc(-c2ccc(NC(=O)c3cccc(OC(F)(F)F)c3)cc2)c1OC,5.195860567664649,451.0701282719999,6,1,5.361200000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87b3a0>
746,1435,1435,CHEMBL3235604,6440.0,nM,CC1=CC(C)(C)N=C2C[C@]3(C)C(=O)C(C)(C)N=C3C(C)=C12,5.191114132640188,284.188863388,3,0,3.6947000000000023,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87b580>
754,1446,1446,CHEMBL1823749,6550.0,nM,O=C(NC(Cc1ccc2cc(OCc3ccccc3F)ccc2c1)C(=O)O)c1ccccc1,5.183758700008217,443.153286404,3,2,4.983600000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87b880>
767,1466,1466,CHEMBL1783790,6800.0,nM,COc1ccc(-c2cc(-c3ccccc3)no2)c(OCC(O)CN2CCCCC2)c1,5.167491087293763,408.204907376,6,1,4.242800000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87bd60>
