,molecule_chembl_id,IC50,units,smiles,pIC50
20,CHEMBL268526,12.0,nM,Cc1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,7.920818753952375
21,CHEMBL267048,12.0,nM,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccc(F)c(F)c2)n2nnc3ccccc32)cc1,7.920818753952375
22,CHEMBL604457,12.6,nM,CS(=O)(=O)OC1C(Cl)CCCC1Cc1ccc(N2CC(=O)CS2(=O)=O)c(O)c1,7.899629454882437
23,CHEMBL592290,14.0,nM,O=C1CN(c2c(O)cc(CC3CCCCC3)cc2F)S(=O)(=O)C1,7.853871964321762
24,CHEMBL381584,15.0,nM,O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3cccc(F)c3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],7.823908740944319
25,CHEMBL378614,16.0,nM,Cc1cc(C[C@H](NS(=O)(=O)c2ccc(Br)c(C(F)(F)F)c2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],7.795880017344075
26,CHEMBL274435,16.0,nM,O=P(O)(O)C(F)(F)c1ccc(/C=C/CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccccc2)n2nnc3ccccc32)cc1,7.795880017344075
27,CHEMBL590480,16.0,nM,CCC(CC)c1ccc(N(Cc2cccc(-c3ccc(COc4ccc(C[C@H](NC(C)=O)C(=O)O)cc4)cc3)c2)C(C)C)cc1,7.795880017344075
28,CHEMBL276647,16.0,nM,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccccc2)n2nnc3ccccc32)cc1,7.795880017344075
29,CHEMBL410646,16.0,nM,CC(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(c1ccccc1)n1nnc2ccccc21,7.795880017344075
30,CHEMBL1938824,17.0,nM,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(Br)c(C(F)(F)P(=O)(O)O)cc3c2)cc1,7.769551078621726
31,CHEMBL211352,18.0,nM,Cc1cc(C[C@H](NS(=O)(=O)c2ccccc2C#N)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],7.7447274948966935
32,CHEMBL1938825,18.0,nM,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(Br)c(C(F)(F)P(=O)(O)O)cc3n2)cc1,7.7447274948966935
33,CHEMBL8662,18.0,nM,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nc3ccccc3s2)n2nnc3ccccc32)cc1,7.7447274948966935
34,CHEMBL208114,18.0,nM,O=C1CC(c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],7.7447274948966935
35,CHEMBL590122,18.0,nM,CCc1cc(C[C@H](NC(C)=O)C(=O)NCCCCOc2cccc(O)c2C(=O)OC)ccc1N(C(=O)C(=O)O)c1ccccc1C(=O)O,7.7447274948966935
36,CHEMBL4164960,18.6,nM,CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)OC)c1,7.730487055782084
37,CHEMBL9473,19.0,nM,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nc(-c3ccccc3)cs2)n2nnc3ccccc32)cc1,7.721246399047171
38,CHEMBL1765346,20.0,nM,CN(CCCCCl)P(=O)(OCc1cc([N+](=O)[O-])co1)C(F)(F)c1ccc(CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2ccc(C(F)(F)P(=O)(OCc3ccc([N+](=O)[O-])o3)N(C)CCCCCl)cc2)C(N)=O)cc1,7.698970004336019
39,CHEMBL273474,20.0,nM,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccc3ccccc3n2)n2nnc3ccccc32)cc1,7.698970004336019
40,CHEMBL541953,22.0,nM,CC(=O)N[C@H](Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c2ccccc12)C(=O)NCCCCCOc1cc2ccccc2cc1C(=O)O,7.657577319177793
41,CHEMBL403468,22.0,nM,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=NC[C@@H](CCCCOc3cccc(O)c3C(=O)O)N2)ccc1C1CC(=O)NS1(=O)=O,7.657577319177793
42,CHEMBL25189,23.0,nM,CCCCCCC(Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1Br)C(=O)O,7.638272163982407
43,CHEMBL253476,23.0,nM,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=NC[C@@H](CCOc3cccc(S(C)(=O)=O)c3)N2)ccc1C1CC(=O)NS1(=O)=O,7.638272163982407
44,CHEMBL590689,23.0,nM,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=N[C@H](CCOc3ccccc3S(C)(=O)=O)CN2)ccc1C1CC(=O)NS1(=O)=O,7.638272163982407
45,CHEMBL285308,24.0,nM,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc2Br)cc1O,7.619788758288394
46,CHEMBL284471,25.0,nM,COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(-c3ccc(OC)cc3)c2OCC(=O)O)cc1,7.6020599913279625
47,CHEMBL1083714,25.0,nM,O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,7.6020599913279625
48,CHEMBL26103,25.0,nM,COc1cccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(-c3cccc(OC)c3)c2OCC(=O)O)c1,7.6020599913279625
49,CHEMBL441959,26.0,nM,O=C(O)c1cc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2)ccc1O,7.585026652029182
50,CHEMBL607027,27.0,nM,O=C1C[C@@H](c2ccc(C[C@H](Nc3nc4ccccc4s3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)N1,7.568636235841012
51,CHEMBL261362,27.0,nM,O=C(Nc1cccc(F)c1)c1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2n1,7.568636235841012
52,CHEMBL198940,28.0,nM,CN(C)S(=O)(=O)c1ccc(CN(Cc2ccc(C(F)(F)P(=O)(O)O)c(Br)c2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1,7.552841968657781
53,CHEMBL25368,28.0,nM,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc2)cc1O,7.552841968657781
54,CHEMBL25628,28.0,nM,COc1cccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(Br)c2OCC(=O)O)c1,7.552841968657781
55,CHEMBL24331,28.0,nM,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2C2CCCC2)cc1O,7.552841968657781
56,CHEMBL538903,29.0,nM,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2[N+](=O)[O-])cc1O,7.537602002101044
57,CHEMBL278092,29.0,nM,COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(Br)c2OCC(=O)O)cc1,7.537602002101044
58,CHEMBL1162226,30.0,nM,NS(=O)(=O)C(F)(F)c1cc(-c2ccc(CSCc3ccc(C(F)(F)P(=O)(O)O)c(Br)c3)cc2)ccc1Br,7.522878745280337
59,CHEMBL285307,30.0,nM,O=C(O)c1ccc(S(=O)(=O)Oc2c(Br)cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc2Br)cc1O,7.522878745280337
60,CHEMBL372592,31.0,nM,CN(Cc1ccccc1)C(=O)CN(Cc1ccc(C(F)(F)P(=O)(O)O)c(Br)c1)S(=O)(=O)c1ccc(OCC(=O)O)cc1,7.508638306165727
